ExtensionID,ExtensionURL
kkhpnmhogcfeboepoempiimfbonppocg,https://chromewebstore.google.com/detail/copilot-ai-assistant-powe/kkhpnmhogcfeboepoempiimfbonppocg
ifjfomailadbmnbdgelhglajckbkfbjj,https://chromewebstore.google.com/detail/bard-ai/ifjfomailadbmnbdgelhglajckbkfbjj
gadbpecoinogdkljjbjffmiijpebooce,https://chromewebstore.google.com/detail/chatgpt-assistant-gpt-sea/gadbpecoinogdkljjbjffmiijpebooce
kkhpnmhogcfeboepoempiimfbonppocg,https://chromewebstore.google.com/detail/copilot-ai-assistant-powe/kkhpnmhogcfeboepoempiimfbonppocg
kkhpnmhogcfeboepoempiimfbonppocg,https://chromewebstore.google.com/detail/tinamind-the-gpt-4o-power/befflofjcniongenjmbkgkoljhgliihe
cedgndijpacnfbdggppddacngjfdkaca,https://chromewebstore.google.com/detail/wayin-ai-understanding-vi/cedgndijpacnfbdggppddacngjfdkaca
nnpnnpemnckcfdebeekibpiijlicmpom,https://chromewebstore.google.com/detail/vpncity-fast-unlimited-vp/nnpnnpemnckcfdebeekibpiijlicmpom
dpggmcodlahmljkhlmpgpdcffdaoccni,https://chromewebstore.google.com/detail/internxt-vpn-free-encrypt/dpggmcodlahmljkhlmpgpdcffdaoccni
cplhlgabfijoiabgkigdafklbhhdkahj,https://chromewebstore.google.com/detail/vidnoz-flex-video-recorde/cplhlgabfijoiabgkigdafklbhhdkahj
egmennebgadmncfjafcemlecimkepcle,https://chromewebstore.google.com/detail/vidhelper-video-download/egmennebgadmncfjafcemlecimkepcle
acmfnomgphggonodopogfbmkneepfgnh,https://chromewebstore.google.com/detail/bookmark-favicon-changer/acmfnomgphggonodopogfbmkneepfgnh
mnhffkhmpnefgklngfmlndmkimimbphc,https://chromewebstore.google.com/detail/Castorus/mnhffkhmpnefgklngfmlndmkimimbphc
oaikpkmjciadfpddlpjjdapglcihgdle,https://chromewebstore.google.com/detail/uvoice/oaikpkmjciadfpddlpjjdapglcihgdle
adiiaeaejlpneikcmkihnimenppopden,https://chromewebstore.google.com/detail/chrome-reader-mode/adiiaeaejlpneikcmkihnimenppopden
kkodiihpgodmdankclfibbiphjkfdenh,https://chromewebstore.google.com/detail/parrottalks%E6%8A%84%E7%AD%86%E8%A8%98/kkodiihpgodmdankclfibbiphjkfdenh
oeiomhmbaapihbilkfkhmlajkeegnjhe,https://chromewebstore.google.com/detail/primus-prev-pado/oeiomhmbaapihbilkfkhmlajkeegnjhe
